shortname,name,content
komnr,Kommunenr,
gardsnr,Gardsnummer,
bruksnr,Bruksnr,
festenr,Festenr,
bruksnavn,Bruksnavn,
jordbruksareal,Jordbruksareal,
skogareal,Skogareal,
annet_areal,Annet areal,
fulldyrket,Fulldyrket,
overflatedyrket,Overflatedyrket,
innmarksbeite,Innmarksbeite,
l_komnr,Kommunenr til tilknyttet landbrukseiendom,Kommunenr til tilknyttet landbrukseiendom
l_gardsnr,Gårdsnr til tilknyttet landbrukseiendom,Gårdsnr til tilknyttet landbrukseiendom
l_bruksnr,Bruksnr til tilknyttet landbrukseiendom,Bruksnr til tilknyttet landbrukseiendom
l_festenr,Festenr til tilknyttet landbrukseiendom,Festenr til tilknyttet landbrukseiendom
