komnr,gardsnr,bruksnr,festenr,bruksnavn,jordbruksareal,annetareal,skogareal,fulldyrket,overflatedyrket,innmarksbeite,koordsys,nord,ost
0301,1,1,0,Bygdøy kongsgård,727,298,1025,673,39,15,22,6642766,593995
0301,1,3,0,,3,432,272,3,0,0,22,,
0301,2,132,0,NORSK FOLKEMUSEUM,22,91,21,8,3,11,22,,
0301,2,360,0,RUTLI,0,4,3,0,0,0,22,6641274,593784
0301,6,9,0,KILLINGEN,0,47,40,0,0,0,22,,
0301,13,1,0,Bogstad,44,76,13,23,0,21,22,6649362,590779
0301,13,7,0,"BAKK GÅRD, SØRKEDALEN",37,22,4,15,0,22,22,6651916,590543
0301,13,8,0,,0,5,19,0,0,0,22,6651612,591205
0301,13,36,0,IKKE MÅLT,1449,3187,33318,916,61,472,22,6650257,590388
0301,14,1,0,Tangen,199,64,766,139,5,55,22,6650494,589919
0301,15,1,0,Solberg,823,29566,133124,540,79,204,22,6652384,590465
0301,15,2,0,,61,17,123,61,0,0,22,6652780,590561
0301,15,3,0,,5,6,2,5,0,0,22,,
0301,16,1,0,STUBBERUD,365,57,538,283,3,79,22,6653953,590217
0301,16,16,0,LØNNÅS SØRKEDALEN 0757 OSLO 7,27,5,30,0,0,27,22,,
0301,17,2,0,Nordre Berger,15,6,36,15,0,0,22,6654565,587988
0301,17,9,0,,1,5,10,1,0,0,22,6654664,588096
0301,17,10,0,,168,29,125,147,11,10,22,6654565,588573
0301,17,11,0,,3,16,0,3,0,0,22,,
0301,17,12,0,,24,7,27,9,0,15,22,6654459,587946
0301,17,15,0,Søndre Venner,16,4,1,13,0,3,22,,
0301,17,19,0,VENNER VESTRE  SØRKEDALEN,59,15,56,47,0,12,22,6654168,588684
0301,18,2,0,,72,12,149,34,18,20,22,6654694,586764
0301,19,4,0,"\KJELSAAS\""""",101,11,181,43,5,53,22,6656705,589102
0301,19,5,0,LYSE NEDRE,139,56,268,127,10,2,22,6654854,587751
0301,19,6,0,Lysebråten,31,13,6,24,7,0,22,6654864,587543
0301,20,3,0,,11,10,4,11,0,0,22,6655023,590037
0301,20,4,0,,80,36,82,72,0,8,22,6654991,589562
0301,20,7,0,,14,3,5,8,0,6,22,6655508,588299
0301,20,9,0,,2,4,7,2,0,0,22,6655248,589816
0301,20,13,0,ØVRE GRAN,48,30,147,22,0,26,22,,
0301,21,2,0,ELVELI,36,151,163,24,10,2,22,6655022,590372
0301,21,3,0,ØVERLI,0,8,62,0,0,0,22,6655182,590300
0301,21,10,0,GRØTTUM,9,5,11,0,4,5,22,6654142,591325
0301,21,16,0,SMEDSTUA,28,3,30,0,12,16,22,6654044,591587
0301,23,2,0,,173,23,121,173,0,0,22,6653341,590915
0301,23,3,0,,16,6,18,16,0,0,22,6652871,591026
0301,24,2,0,Bjelkerud,1,6,13,0,1,0,22,6651743,591177
0301,24,3,0,,102,57,96,102,0,0,22,6652130,590687
0301,24,4,0,,83,18,56,67,0,16,22,6651724,590848
0301,24,5,0,,0,3,0,0,0,0,22,6651923,590832
0301,24,10,0,,0,1,0,0,0,0,22,,
0301,25,3,0,FRAMSTUA,8,8,99,0,0,8,22,,
0301,25,5,0,Svartorsetra,3,8,146,0,0,3,22,6655571,591893
0301,25,6,0,,0,19,97,0,0,0,22,6655698,592514
0301,25,7,0,,0,3,18,0,0,0,22,,
0301,25,8,0,FRAMSTUEN,0,0,0,0,0,0,22,6655478,592003
0301,25,9,0,,0,6,50,0,0,0,22,6655342,592432
