shortname,name,content
orgnr,Organisasjonsnr.,
navn,Navn,
komnr,Kommunenummer,
bygg_for_kg,Bygg fôr (kg),
bygg_saakorn_kg,Bygg såkorn (kg),
bygg_mat_kg,Bygg mat (kg),
erter_for_kg,Erter fôr (kg),
erter_mat_kg,Erter mat (kg),
erter_saakorn_kg,Erter såkorn (kg),
havre_for_kg,Havre fôr (kg),
havre_saakorn_kg,Havre såkorn (kg),
hvete_for_kg,Hvete fôr (kg),
hvete_mat_kg,Hvete mat (kg),
hvete_saakorn_kg,Hvete såkorn (kg),
oljefro_kg,Oljefrø (kg),
oljefro_saakorn_kg,Oljefrø såkorn (kg),
rug_for_kg,Rug fôr (kg),
rug_mat_kg,Rug mat (kg),
rug_saakorn_kg,Rug såkorn (kg),
rughvete_for_kg,Rughvete fôr (kg),
rughvete_saakorn_kg,Rughvete såkorn (kg),
