orgnr;navn;ft_egg;ft_kornkraft;ft_slakt;t_matkorn;t_prisnedkorn
811747912;FOLLUBU BRUK AS;;0;;;416542
812358812;NORSK URKORN AS;;;;3716;
846170642;ØSTFOLDKORN SA;;0;;;28139444
851970452;MYSEN KORNSILO OG MØLLE SA;;;;;13824340
872406492;YTRE NORDMØRE SL A/S;;;554249;;
880524992;RØV MØLLE AS;;;;;2159082
885209432;PRIMA JÆREN SLAKT AS;;;549884;;
885719422;NORGESMØLLENE AS;;;;15657924;
886383932;JENS EIDE SLAKTERI AS;;;1133059;;
886721382;KVELDE MEL AS;;;;196055;
910629085;LANTMANNEN CEREALIA AS;;;;20363889;
910735802;VESTFOLDMØLLENE AS;;194794;;;24689531
910776703;BRASKEREIDFOSS KORNSILO SA;;;;;8814579
911608103;FELLESKJØPET AGRI SA;;110983253;;;282158041
911745879;BØ GÅRDSSLAKTERI ARNE EINAR OL;;;124;;
913251342;FATLAND JÆREN AS;;;1156373;;
913945603;CARDINAL FOODS SKI  AS;493873;;;;
913980484;OTTADALEN MØLLE SA;;5982713;;58380;924919
914250757;JONAS H. MELING AS;77547;;;;
915398251;OLE RINGDAL AS;;;1709902;;
915442552;FELLESKJØPET ROGALAND AGDER SA;;14869321;;;4301770
915470750;FELLESKJØPET NORDMØRE OG ROMSDAL SA;;2116499;;;769306
915613713;AS RÅDE MØLLE OG KORNSILO;;;;;5939938
916232454;STEINKJER KORNSILO SA;;;;2260;
916329717;STRAND UNIKORN AS;;9729200;;;58862671
917225168;VOLDA ELEKTRISKE MYLNE AS;;7334;;16201;
929956273;ANS MØRE OG ROMSDAL KORNSILO;;154689;;;
930054968;FATLAND ØLEN AS;;;7832131;;
934097238;FURUSETH AS;;;2367687;;
934469801;FATLAND OSLO AS;;;1366581;;
934649788;HURUM MØLLE;;;;;1113816
936070612;DALEBAKKEN AS;;784234;;;
938639604;LØTEN MØLLE AS;;185364;;;4670642
938752648;NORTURA SA;8050423;;;;
938752648;NORTURA SA;;;95231703;;
939242171;TRYGVE BROVOLD AS;;;7561;;
947097733;DALPRO AS;;;29671;;
947525239;ALMA NORGE AS;;;;1524;31415
947979248;RØROS SLAKTERI;;;1257277;;
950121718;VESTBY MØLLE & KORNSILO SA;;;;;5625250
950381442;HORNS SLAKTERI AS;;;4834384;;
952971441;STANGELAND MØLLE AS;;19435;;516198;
953455730;HADELAND KORNSILO OG MØLLE BA, JAREN;;176857;;;1413081
953852675;ORKLA KORNSILO OG MØLNE SA;;874971;;;7077249
959079420;RINGERIKES KORNSILO SA;;;;;11729596
959416516;A/L SANDE KORNMAGASIN;;;;;372803
964878080;SKJELFOSS KORN AS;;;;;8546619
967060291;HUNDSETH MØLLE AS;;1614524;;;828923
968250698;FISKÅ MØLLE ETNE AS, ETNE;;2169030;;;36747
968410199;MØLLEHUSET AS;;607558;;891451;
968932683;MIDTNORGE SLAKTERI AS;;;2988806;;
970065458;FOSSAN MØLLE;;;;2009;
970391215;ARNKVÆRN MØLLE;;;;;2710
975856844;FISKÅ MØLLE AS;;16996317;;;250587
975956962;HANDELSHUSET OVE STORSLETT AS;;;9822;;
977175062;MØRK ENGEBRETSEN INVEST AS;;;;;2526318
980663515;VINSTRA BRUK AS;;527559;;;281597
981450795;JÆREGG AS;424;;;;
981682955;NORDFJORD KJØTT SLAKT AS;;;1301113;;
984109008;FISKÅ MØLLE TRØNDERLAG AS;;930342;;;4908421
984155913;NORGANIC AS;;;;10992;
984669127;FISKÅ MØLLE MOSS  AS;;9204927;;;23520366
985152861;ØRE VILT SA;;;128731;;
987352779;FROLAND SLAKTERI AS;;;51773;;
987634723;ØSTMØLLENE AS;;;;;13201911
988300020;SLAKTHUSET EIDSMO DULLUM A/S;;;2278985;;
991436472;VIKJA A/S;;;566;;
991500839;FISKÅ MØLLE FLISA AS;;555765;;;8995489
992274190;KANSTADFJORD VESTRE HINNØY REINBEITEDISTRIKT;;;6594;;
992316691;NORSK SPELT AS;;;;10299;
993055042;ØKOLOGISK SPESIALKORN SKANDINAVIA AS;;;;;27273
993289620;VOSS GARDSSLAKTERI SA;;;40688;;
994296914;HELGELAND SAMVIRKESLAKTERI AS;;;307354;;
995641445;HOLLI MØLLE AS;;;;126540;587819
996037223;RIAS PAKKERI AS;139250;;;;
996107620;PRUGLHEI GÅRD V/MARTE PRUGLHEI ;;;73;;
996854272;VINJE SLAKTERI AS;;;7369;;
998760968;BJONEROA MØLLE MARTIN MYHRE;;;;;130558
999616798;SANDE KORNMAGASIN AS;;;;;325862
