orgnr,navn,ft_egg,ft_korn,ft_slakt,t_matkorn,t_prisnedkorn
811747912,FOLLEBU BRUK AS,,  ,,  , 742 803 
846170642,ØSTFOLDKORN SA,,  ,,  , 41 807 478 
851970452,MYSEN KORNSILO OG MØLLE AS,,  ,,  , 19 662 447 
872406492,YTRE NORDMØRE SLAKTERI AS,,, 428 018 ,,
880524992,RØV MØLLE AS,,  ,,  , 1 469 689 
885209432,PRIMA JÆREN SLAKT AS,,, 891 431 ,,
885719422,NORGESMØLLENE AS,,  ,, 26 868 455 ,  
886383932,JENS EIDE SLAKTERI AS,,, 1 338 594 ,,
886721382,KVELDE MEL AS,,  ,, 91 740 ,  
910629085,LANTMÄNNEN CEREALIA AS,,  ,, 26 507 641 ,  
910735802,VESTFOLDMØLLENE AS,, 126 957 ,,  , 29 088 059 
910776703,BRASKEREIDFOSS KORNSILO SA,,  ,,  , 12 411 258 
911608103,FELLESKJØPET AGRI SA,, 67 312 190 ,,  , 411 876 782 
911745879,BØ GÅRDSSLAKTERI,,, 104 700 ,,
912741672,OLE JOHAN ANSTENSRUD,,  ,, 20 596 ,  
913077903,HURUM MØLLE AS,,  ,,  , 1 966 895 
913251342,FATLAND JÆREN AS,,, 1 454 987 ,,
913945603,CARDINAL FOODS SKI  AS, 130 694 ,,,,
913980484,OTTADALEN MØLLE AS,,  ,, 74 649 , 1 460 751 
915398251,OLE RINGDAL AS,,, 1 678 530 ,,
915442552,FELLESKJØPET ROGALAND AGDER SA,,  ,,  , 6 185 068 
915613713,AS RÅDE MØLLE OG KORNSILO,,  ,,  , 8 604 058 
915703836,BRANSFJELL AS,,, 8 105 ,,
915976077,STRAND UNIKORN SPESIALPRODUKSJON TRØNDELAG AS,,  ,,  , 1 030 131 
916329717,STRAND UNIKORN AS,, 10 711 247 ,,  , 72 960 324 
916465149,HURRAN VILLSAU,,, 8 114 ,,
917225168,VOLDA ELEKTRISKE MYLNE AS,, 10 631 ,, 21 216 ,  
930054968,FATLAND ØLEN AS,,, 6 981 704 ,,
934097238,FURUSETH AS,,, 3 998 549 ,,
934469801,FATLAND OSLO AS,,, 2 407 024 ,,
938639604,LØTEN MØLLE AS,,  ,,  , 8 423 792 
938752648,NORTURA SA, 7 450 207 ,, 106 012 955 ,,
939242171,TRYGVE BROVOLD AS,,, 36 912 ,,
947097733,DALPRO AS,,, 50 275 ,,
947525239,ALMA NORGE AS,,  ,, 1 526 , 113 967 
947979248,RØROS SLAKTERI,,, 1 241 851 ,,
950121718,VESTBY MØLLE OG KORNSILO SA,,  ,,  , 8 721 454 
950381442,HORNS SLAKTERI AS,,, 3 539 768 ,,
952971441,STANGELAND MØLLE AS,, 57 501 ,, 1 486 154 ,  
953852675,ORKLA KORNSILO OG MØLNE SA,,  ,,  , 8 848 713 
959079420,RINGERIKES KORNSILO SA,,  ,,  , 16 164 159 
964878080,SKJELFOSS KORN AS,,  ,,  , 12 622 162 
967060291,HUNDSETH MØLLE AS,,  ,,  , 4 689 656 
968250698,FISKÅ MØLLE ETNE AS,,  ,,  , 10 484 
968410199,MØLLEHUSET AS,, 254 533 ,, 792 090 ,  
968932683,MIDTNORGE SLAKTERI AS,,, 4 064 839 ,,
970065458,FOSSAN MØLLE,,  ,, 5 785 ,  
975856844,FISKÅ MØLLE AS,,  ,,  , 1 741 581 
977175062,MØRK ENGEBRETSEN INVEST AS,,  ,,  , 2 888 584 
980403815,DEN STOLTE HANE AS, 250 965 ,,,,
980663515,VINSTRA BRUK AS,,  ,,  , 558 264 
981450795,JÆREGG AS, 2 684 ,,,,
981682955,NORDFJORD KJØTT SLAKT AS,,, 1 415 497 ,,
984109008,FISKÅ MØLLE TRØNDELAG AS,,  ,,  , 7 590 081 
984155913,NORGANIC AS,,  ,, 30 224 ,  
984669127,FISKÅ MØLLE MOSS AS,, 11 744 651 ,,  , 32 722 244 
985152861,ØRE VILT SA,,, 158 891 ,,
987098724,GJØLSTAD GÅRD AS,,  ,,  , 1 290 770 
987634723,ØSTMØLLENE AS,,  ,,  , 20 596 216 
988300020,SLAKTHUSET EIDSMO DULLUM AS,,, 1 983 215 ,,
988939935,MOBILSLAKT AS,,, 6 289 ,,
990494428,STRILALAM SA,,, 62 048 ,,
991436472,VIKJA AS,,, 32 307 ,,
991500839,FISKÅ MØLLE FLISA AS,,  ,,  , 13 164 329 
992274190,KANSTADFJORD VESTRE HINNØY REINBEITEDISTRIKT,,, 4 352 ,,
992316691,NORSK SPELT AS,,  ,, 10 088 , 60 580 
993055042,ØKOLOGISK SPESIALKORN SKANDINAVIA AS,,  ,,  , 338 813 
993289620,VOSS GARDSSLAKTERI SA,,, 72 248 ,,
995641445,HOLLI MØLLE AS,,  ,, 92 682 , 620 378 
996037223,RIAS PAKKERI AS, 224 823 ,,,,
996854272,VINJE SLAKTERI AS,,, 4 172 ,,
998760968,BJONEROA MØLLE,,  ,,  , 270 295 
999616798,SANDE KORNMAGASIN AS,,  ,,  , 1 126 239 
