orgnr;navn;ft_egg;ft_korn;ft_slakt;t_korn;t_prisnedkorn
811747912;FOLLEBU BRUK AS;;;;;371 491
846170642;ØSTFOLDKORN SA;;;;;44 899 037
851970452;MYSEN KORNSILO OG MØLLE SA;;;;;21 895 493
872406492;YTRE NORDMØRE SLAKTERI AS;;;418 852;;
885209432;PRIMA SLAKT AS;;;850 587;;
885719422;NORGESMØLLENE AS;;;;24 848 958;
886383932;JENS EIDE AS;;;1 402 458;;
886721382;KVELDE MEL AS;;;;31 882;
910629085;LANTMANNEN CEREALIA AS;;;;25 647 151;
910735802;VESTFOLDMØLLENE AS;;;;;26 273 658
910776703;BRASKEREIDFOSS KORNSILO SA;;;;;10 495 651
911608103;FELLESKJØPET AGRI SA;;41 577 796;;;393 725 814
912741672;OLE JOHAN ANSTENSRUD;;13 671;;36 469;
913077903;HURUM MØLLE AS;;;;;1 605 750
913251342;FATLAND JÆREN AS;;;1 438 376;;
913980484;OTTADALEN MØLLE SA;;;;183 155;1 158 530
914250757;JONAS H MELING AS;135 266;;;;
915398251;OLE RINGDAL AS;;;1 528 465;;
915442552;FELLESKJØPET ROGALAND AGDER SA;;;;;5 703 151
915613713;AS RÅDE MØLLE OG KORNSILO;;;;;10 845 101
916329717;STRAND UNIKORN AS;;4 040 791;;;56 857 909
916465149;HURRAN VILLSAU AINA TARALDSEN ;;;4 216;;
917225168;VOLDA ELEKTRISKE MYLNE AS;;5 965;;10 050;
918707867;BONSAK AS;;;;43 606;54 270
918962247;NORSK ØKORAPS AS;;;;;580 860
921139233;BØ GÅRDSSLAKTERI AS;;;112 826;;
930054968;FATLAND ØLEN AS;;;6 354 518;;
934097238;FURUSETH AS;;;3 786 076;;
934469801;FATLAND OSLO AS;;;2 378 614;;
938639604;LØTEN MØLLE AS;;;;;9 867 240
938752648;NORTURA SA;6 725 321;;99 862 826;;
939242171;TRYGVE BROVOLD AS;;;24 410;;
947097733;DALPRO AS;;;27 203;;
947979248;RØROS SLAKTERI AS;;;1 192 027;;
950121718;VESTBY MØLLE & KORNSILO SA;;;;;10 073 855
950381442;HORNS SLAKTERI AS;;;3 333 535;;
952971441;STANGELAND MØLLE AS;;;;2 360 715;
953852675;ORKLA KORNSILO OG MØLNE SA;;;;;9 802 682
959079420;RINGERIKES KORNSILO SA;;;;;15 107 051
964878080;SKJELFOSS KORN A/S;;;;;15 983 334
967060291;HUNDSETH MØLLE AS;;21 185;;;10 847 612
968250698;FISKÅ MØLLE ETNE AS;;;;;9 840
968410199;MØLLEHUSET AS;;14 420;;54 782;
968932683;MIDTNORGE SLAKTERI AS;;;4 407 625;;
973860003;NJK MOBILSLAKT;;;5 772;;
975856844;FISKÅ MØLLE AS;;799 010;;;1 241 078
977175062;MØRK ENGEBRETSEN INVEST AS;;;;;3 358 065
979473559;MIDSONA NORGE A/S;;;;1 004;
980403815;DEN STOLTE HANE AS;108 336;;;;
980663515;VINSTRA BRUK AS;;;;;684 779
981682955;NORDFJORD KJØTT SLAKT AS;;;1 301 000;;
984109008;FISKÅ MØLLE TRØNDERLAG AS;;;;;10 826 449
984155913;NORGANIC AS;;;;53 799;
984669127;FISKÅ MØLLE MOSS  AS;;9 451 514;;;35 271 175
985152861;ØRE VILT SA;;;18 111;;
987098724;GJØLSTAD GÅRD AS;;;;;2 479 353
987634723;ØSTMØLLENE AS;;;;;22 259 885
988300020;SLAKTHUSET EIDSMO DULLUM AS;;;2 310 721;;
990494428;STRILALAM SA;;;46 638;;
991436472;VIKJA AS;;;32 014;;
991500839;FISKÅ MØLLE FLISA AS;;;;;14 673 099
992274190;KANSTADFJORD VESTRE HINNØY REINBEITEDISTRIKT;;;2 915;;
992316691;NORSK SPELT AS;;;;15 711;
992414782;LARSASTOVA GARDSSLAKTERI;;;24 754;;
993055042;ØKOLOGISK SPESIALKORN SKANDINAVIA AS;;;;;85 151
993289620;VOSS GARDSSLAKTERI SA;;;40 240;;
995641445;HOLLI MØLLE AS;;;;63 817;391 851
996037223;RIAS-PAKKERI AS;165 522;;;;
998760968;BJONEROA MØLLE MARTIN MYHRE;;;;;112 150
999616798;SANDE KORNMAGASIN AS;;;;;1 037 541
