orgnr,navn,frakttilskudd_egg,frakttilskudd_korn,frakttilskudd_slakt,matkorntilskudd,prisnedskrivingstilskudd_korn
914250757,JONAS H MELING AS,84249,,,,
980403815,DEN STOLTE HANE AS,77309,,,,
996037223,RIAS-PAKKERI AS,110889,,,,
938752648,NORTURA SA,6928814,,,,
993289620,VOSS GARDSSLAKTERI SA,,,38362,,
973860003,NJK MOBILSLAKT,,,16892,,
872406492,YTRE NORDMØRE SLAKTERI AS,,,483174,,
988300020,SLAKTHUSET EIDSMO DULLUM AS,,,2501056,,
990494428,STRILALAM SA,,,18759,,
947097733,DALPRO AS,,,41329,,
981682955,NORDFJORD KJØTT SLAKT AS,,,1686175,,
886383932,JENS EIDE AS,,,1643926,,
913251342,FATLAND JÆREN AS,,,1547709,,
930054968,FATLAND ØLEN AS,,,6994733,,
916465149,HURRAN VILLSAU AINA TARALDSEN ,,,5022,,
934097238,FURUSETH AS,,,3800071,,
992274190,KANSTADFJORD VESTRE HINNØY REINBEITEDISTRIKT,,,3426,,
939242171,TRYGVE BROVOLD AS,,,12461,,
934469801,FATLAND OSLO AS,,,2972147,,
920393527,SUNDBYGD GÅRD SLAKTERI OG BUTIKK,,,2640,,
950381442,HORNS SLAKTERI AS,,,3722568,,
985152861,ØRE VILT SA,,,50863,,
968932683,MIDTNORGE SLAKTERI AS,,,4758869,,
992414782,LARSASTOVA GARDSSLAKTERI,,,39804,,
915398251,OLE RINGDAL AS,,,1457855,,
991436472,VIKJA AS,,,31053,,
938752648,NORTURA SA,,,101040753,,
921139233,BØ GÅRDSSLAKTERI AS,,,134352,,
947979248,RØROS SLAKTERI AS,,,1277200,,
885209432,PRIMA SLAKT AS,,,946052,,
968410199,MØLLEHUSET AS,,19012,,57454,
984155913,NORGANIC AS,,,,65224,
885719422,NORGESMØLLENE AS,,,,53684766,
917225168,VOLDA ELEKTRISKE MYLNE AS,,4104,,21895,
979473559,MIDSONA NORGE A/S,,,,6344,
995641445,HOLLI MØLLE AS,,,,133610,1865526
886721382,KVELDE MEL AS,,,,202832,
992316691,NORSK SPELT AS,,,,14997,73975
912741672,OLE JOHAN ANSTENSRUD,,44947,,71085,
924350776,TVETER GÅRD FOREDLING AS,,,,70448,315421
910629085,LANTMANNEN CEREALIA AS,,,,42100123,
913980484,OTTADALEN MØLLE SA,,,,208802,2288645
952971441,STANGELAND MØLLE AS,,,,1703808,
918707867,BONSAK AS,,,,63760,69185
980663515,VINSTRA BRUK AS,,,,,1252872
916329717,STRAND UNIKORN AS,,6980244,,,86674133
977175062,MØRK ENGEBRETSEN INVEST AS,,,,,2670046
911608103,FELLESKJØPET AGRI SA,,59295189,,,541903030
918962247,NORSK ØKORAPS AS,,,,,619819
959079420,RINGERIKES KORNSILO SA,,,,,21732592
915590314,GULLIMUNN AS,,,,,107550
913077903,HURUM MØLLE AS,,,,,2703847
846170642,ØSTFOLDKORN SA,,,,,59054642
984669127,FISKÅ MØLLE MOSS  AS,,10272594,,,55236580
918340998,GJULEM AGRO AS,,,,,900787
987098724,GJØLSTAD GÅRD AS,,,,,2129147
953852675,ORKLA KORNSILO OG MØLNE SA,,,,,9827900
811747912,FOLLEBU BRUK AS,,,,,862985
851970452,MYSEN KORNSILO OG MØLLE SA,,,,,26179907
967060291,HUNDSETH MØLLE AS,,31325,,,10505821
915613713,AS RÅDE MØLLE OG KORNSILO,,,,,11290483
987634723,ØSTMØLLENE AS,,,,,31338451
950121718,VESTBY MØLLE & KORNSILO SA,,,,,12471594
991500839,FISKÅ MØLLE FLISA AS,,,,,21752099
999616798,SANDE KORNMAGASIN AS,,,,,1184581
984109008,FISKÅ MØLLE TRØNDERLAG AS,,,,,10202323
938639604,LØTEN MØLLE AS,,,,,13278894
968250698,FISKÅ MØLLE ETNE AS,,,,,7569
993055042,ØKOLOGISK SPESIALKORN SKANDINAVIA AS,,,,,412149
910776703,BRASKEREIDFOSS KORNSILO SA,,,,,16784463
910735802,VESTFOLDMØLLENE AS,,,,,35972620
975856844,FISKÅ MØLLE AS,,4806158,,,3072843
964878080,SKJELFOSS KORN A/S,,,,,23585678
915442552,FELLESKJØPET ROGALAND AGDER SA,,,,,8072080
