orgnr;navn;frakttilskudd_egg;frakttilskudd_korn;frakttilskudd_slakt;matkorntilskudd;prisnedskrivingstilskudd_korn
993289620;VOSS GARDSSLAKTERI SA;;;30273;;
973860003;NJK MOBILSLAKT;;;9669;;
872406492;YTRE NORDMØRE SLAKTERI AS;;;505783;;
988300020;SLAKTHUSET EIDSMO DULLUM AS;;;2957760;;
990494428;STRILALAM SA;;;34354;;
947097733;DALPRO AS;;;58050;;
981682955;NORDFJORD KJØTT SLAKT AS;;;1984631;;
886383932;JENS EIDE AS;;;2087001;;
913251342;FATLAND JÆREN AS;;;2130545;;
930054968;FATLAND ØLEN AS;;;7549255;;
916465149;HURRAN VILLSAU AINA TARALDSEN ;;;5434;;
934097238;FURUSETH AS;;;4108450;;
992274190;KANSTADFJORD VESTRE HINNØY REINBEITEDISTRIKT;;;2580;;
934469801;FATLAND OSLO AS;;;3932147;;
924730846;HAFJELL SLAKTERI;;;145844;;
950381442;HORNS SLAKTERI AS;;;4195940;;
985152861;ØRE VILT SA;;;62771;;
968932683;MIDTNORGE SLAKTERI AS;;;5066369;;
992414782;LARSASTOVA GARDSSLAKTERI;;;73418;;
915398251;OLE RINGDAL AS;;;1611030;;
991436472;VIKJA AS;;;36278;;
938752648;NORTURA SA;;;110474495;;
921139233;BØ GÅRDSSLAKTERI AS;;;132915;;
947979248;RØROS SLAKTERI AS;;;1556132;;
885209432;PRIMA SLAKT AS;;;1252973;;
996037223;RIAS-PAKKERI AS;100455;;;;
938752648;NORTURA SA;6978012;;;;
980403815;DEN STOLTE HANE AS;72595;;;;
967060291;HUNDSETH MØLLE AS;;14053;;;5957967
977175062;MØRK ENGEBRETSEN INVEST AS;;;;;3466139
991500839;FISKÅ MØLLE FLISA AS;;;;;21930155
915442552;FELLESKJØPET ROGALAND AGDER SA;;;;;10704514
915613713;AS RÅDE MØLLE OG KORNSILO;;;;;9517798
916931182;SIV IREN KLEPP;;;;;273995
938639604;LØTEN MØLLE AS;;;;;14209978
950121718;VESTBY MØLLE & KORNSILO SA;;;;;13770229
968250698;FISKÅ MØLLE ETNE AS;;;;;11602
846170642;ØSTFOLDKORN SA;;;;;62218330
915590314;GULLIMUNN AS;;;;24987;76880
918962247;NORSK ØKORAPS AS;;;;;421471
980663515;VINSTRA BRUK AS;;;;;959195
984109008;FISKÅ MØLLE TRØNDELAG DALEBAKKEN;;;;;20538638
880524992;RØV MØLLE AS;;;;;4328958
910735802;VESTFOLDMØLLENE AS;;;;;33760701
911608103;FELLESKJØPET AGRI SA;;60889525;;;532578713
975856844;FISKÅ MØLLE AS;;190565;;;6149005
995641445;HOLLI MØLLE AS;;90166;;394666;1009713
811747912;FOLLEBU BRUK AS;;;;;517875
924350776;TVETER GÅRD FOREDLING AS;;41920;;211607;599427
992316691;NORSK SPELT AS;;;;;28452
851970452;MYSEN KORNSILO OG MØLLE SA;;;;;26607238
913077903;HURUM MØLLE AS;;;;;1955860
913980484;OTTADALEN MØLLE SA;;;;201571;2068137
918340998;GJULEM AGRO AS;;;;;2703830
959079420;RINGERIKES KORNSILO SA;;;;;21659816
984669127;FISKÅ MØLLE MOSS AS;;11924343;;;52587971
916329717;STRAND UNIKORN AS, MOELV;;7004296;;;89685843
953852675;ORKLA KORNSILO OG MØLNE SA;;;;;11410818
987634723;ØSTMØLLENE AS;;;;;28190377
993055042;ØKOLOGISK SPESIALKORN SKANDINAVIA AS;;;;;192744
910776703;BRASKEREIDFOSS KORNSILO SA;;;;;18711493
918707867;BONSAK AS;;29796;;94322;200993
964878080;SKJELFOSS KORN A/S;;;;;23566712
987098724;GJØLSTAD GÅRD AS;;;;;1462479
999616798;SANDE KORNMAGASIN AS;;;;;689145
886721382;KVELDE MEL AS;;;;253029;
910629085;LANTMANNEN CEREALIA AS;;;;52643743;
952971441;STANGELAND MØLLE AS;;7751;;2296550;
968410199;MØLLEHUSET AS;;9396;;40581;
984155913;NORGANIC AS;;9511;;137200;
885719422;NORGESMØLLENE AS;;;;63016423;
917225168;VOLDA ELEKTRISKE MYLNE AS;;8789;;44582;
