shortname,name,content
komnr,Komnr,
navn,Navn,
orgnr,Orgnr,
distriktstilskudd_egg,Distriktstilskudd egg,
distriktstilskudd_kjott,Distriktstilskudd kjott,
distriktstilskudd_gris,Distriktstilskudd gris,
grunntilskudd_kjott,Grunntilskudd kjott,
tilskudd_norsk_ull,Tilskudd norsk ull,
tilskudd_norsk_skinn,Tilskudd norsk skinn,
distriktstilskudd_melk,Distriktstilskudd melk,
grunntilskudd_melk,Grunntilskudd melk,
kvalitetstilskudd_storfe,Kvalitetstilskudd storfe,
frakttilskudd_kraftfor,Frakttilskudd kraftfor,
tilskudd_lam_og_kje,Tilskudd lam og kje,
sum_tilskudd,Sum tilskudd,
