shortname,name,content
orgnr,Organisasjonsnummer,
navn,Navn,
kommune,Kommunenummer,
dt_melk,Tilskudd melk,Driftstilskudd til melkeproduksjon
dt_kjottfe,Tilskudd kjøttfe,Driftstilskudd til kjøttfe-produksjon
t_husdyr,Tilskudd husdyr,Tilskudd til husdyr
t_beite,Tilskudd beite,Beite-tilskudd
t_utmarksbeite,Tilskudd utmarksbeite,Tilskudd til dyr på utmarks-beite
t_areal,Tilskudd areal,Areal-tilskudd
t_klandskap,Tilskudd kultur-landskap,Kulturlandskaps-tilskudd
t_oko_omlegging,Tilskudd økologisk omlegging,Tilskudd til økologisk landbruk - omleggingstilskudd
t_oko_areal,Tilskudd økologisk areal,Tilskudd til økologisk landbruk - arealtilskudd
t_oko_husdyr,Tilskudd økologisk husdyr,Tilskudd til økologisk landbruk - husdyrtilskudd
bunnfradrag,Bunn-fradrag,
tilskudd,Sum tilskudd,
