shortname,name,content
orgnr,Organisasjonsnummer,
navn,Navn,
kommune,Kommunenummer,
dt_melk,Tilskudd melk,Driftstilskudd til melkeproduksjon
dt_kjottfe,Tilskudd kjøttfe,Driftstilskudd til kjøttfe-produksjon
t_husdyr,Tilskudd husdyr,Tilskudd til husdyr
t_lam,Tilskudd lammeslakt,Tilskudd til lammeslakt
t_gront,Tilskudd grøntproduksjon,Distrikts- og kvalitetstilskudd til grøntproduksjon
t_matpoteter,Tilskudd matpoteter,Distriktstilskudd for produksjon av matpoteter
t_storferaser,Tilskudd storferaser,Tilskudd til bevaringsverdige storferaser
t_oko_husdyr,Tilskudd øko husdyr,Tilskudd til økologisk landbruk - husdyrtilskudd
t_avlosning,Tilskudd avløsning,Tilskudd til avløsning ved ferie og fritid
bunnfradrag,Bunnfradrag,
tilskudd,Sum tilskudd,
